"","text"
"853","  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"854",NA
"855"," banget ukurannya  tucu sih"
"856",NA
"857","harddisk tahan banting  standard militer adata udah jaminan mutu  diragukan  kualitas uknya"
"858","  barang sesuai"
"859","i bought adata hd this uct is really awesome i feel safe because this uct is waterf shockf and dustf i can save everything without worrying my data will lose i have no more word to describe how incredible this uct is i just love it it is nice uct"
"860",NA
"861"," sdh mengetes tv   siaran analog ataudigital  internet si youtube  situs berita  browser bawaan berjalan lancar yg belun berhasil dites  fitur mhl  screen mirorring  membutuhkan ngkat mobile yg mendukung fitur tsb"
"862","resya cebarangnya cesamjuga terimakasih lazada"
"863","puass  yanan kencana electronic pelayanan ramah irimannya ce"
"864","sya  kembaliin uk tv ichico by yg kmrn yg  trnyata smdi rmh gambar ny ga  suarany ad"
"865"," cicilan gimna  pake d"
"866","usb nya cm alitas doang gx bs d gunakn"
"867","knaesanan sayadi batalkan"
"868","  kecewa banget kenaih udah  tranfer   batalin barang nya gmn sih lazada"
"869","resya"
"870","bang   ude ram  total "
"871","null"
"872","iriman cesekali  barangnya  bagus rekomended bgt temblanja nya"
"873","null"
"874","barang  samdengan kondisinya bagus  sesuai  iklanmantaknya cma ingnya horor alngkah baiknya   ing kayu   aman"
"875","uwuwww"
"876",NA
"877","null"
"878","null"
"879","null"
"880","null"
"881","null"
"882","good"
"883","bagus"
"884","suaranya blm teruji"
"885","null"
"886","null"
"887"," gimana min  kredit cicilan"
"888","nice uct"
"889","excellent"
"890","barang sesuai  iklan  sfikasi cocok"
"891","la  diterima barang bagus sesuai s kurangnya    install microsoft office"
"892","null"
"893",NA
"894","pelayan bagus  barang sesuai hara bagus  terimakasih ya"
"895","mantab lahhpengiriman ce"
"896","null"
"897","null"
"898","barang bagus tks  "
"899","barangnya ok cmya thanks lazada"
"900","null"
"901","joss"
"902","null"
"903","null"
"904","null"
"905","null"
"906","null"
"907","null"
"908","null"
"909"," berfungsi  baikkk"
"910","produk   sesuai estimasi yanan ual jiga  semoga barangnya awet"
"911","barang ok resok"
"912"," n   stok  hubungi "
"913","tertera  demasih  stok   klik beli  kesalahan mohon diaiki"
"914","semoga memuaskan"
"915"," memori nya br ya tolong  "
"916","  dabonus tas dell  taasnya standar kisaran tas harga rb"
"917","  nanya klo bayar  cicilan gimana  gan"
"918","ga   save pdf file"
"919","keren lanya rekomendasi bgt  selulernya  bgt tokonya"
"920","barang bagus admin nya ramah  cantik thanks dd"
"921","barang bagus"
"922"," bayar ditem"
"923"," widows aa"
"924","dd"
"925","null"
"926","flashdisk nya cerusak cuman  nyimbeberailm  gimana ni"
"927","null"
"928","null"
"929","la nya   terima  ing nya bagus tanedikit cacatthankslazada"
"930","puas banget  yanan seller nya barang sesuai nan  cesamseller nya rekomended thanks"
"931","produk lenovo ideaini  disukai anak   kecennya cukumuaskan keynya nyaman warnanya sy  sesuai banget  tugastugas sekolah anak pokonya ngerock"
"932","null"
"933","barang diterima sesuai  syang  harga murah  syang  terima kasih lazada"
"934","  barang langsung samdari surabaya  bandung  barang ok  install ubuntu tanendala  ngodin thx"
"935","barang bagus sesuai deskritaegel  dusnya seinya udah terbuka tetaanya mulus  bagus"
"936","product nya  diterima   mulus no scratch no dent thanks klo garansi  sssc jakarta  "
"937","null"
"938","null"
"939","null"
"940","samsesuai    ditentukan barang bagus ing bagus"
"941","barang dateng cemulus ga  cacat ty"
"942","barang bagus  mulus sesuai    jual taenaegel udah kebuka ya"
"943","brg sudh smengan selamat beserta bonus nya terimakasih  sukses teruss"
"944","null"
"945","halo    barang garansi lenovo resmi"
"946","os  terisi   sdh i os win beraan"
"947","null"
"948","lanya bagus  tanendala sedikitpun"
"949","barang nyamsesuai jadwal ing bagus kondisi la bagusjos  knya"
"950"," vga nya   dual grafik vga kah"
"951","kenaesanan  mostnya  dikasihsaya  rugi"
"952"," dicicil ga"
"953","  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"954","iriman cebarang sesuai gambar  emasan   rapi"
"955","mantaengiriman ce"
"956","barangnya bagus sesuai naningnya rabarang  duanya bagus tdk  masalahterimakasih lazadaterimakasih seller"
"957","gambar jernih suara kenceng aturan menu lengkan mudah iriman cecuma   terima kasih"
"958","   nan   notifikasi  akun barang  samtaari   belom terima  irimannya  gojek tolong  cek  "
"959","trims lazada paket elian tv   samketujuan tewaktu tanacat  "
"960","barang cedateng  oke"
"961"," beraulan tv mati gak "
"962","barang  sman thanks yaa"
"963","udah samsaya  walauirimannya  telat  abang kurirnya  nyolot ngotot garagara nyari nama  gak   knal udah caanya nama   nlarusnya tllu biar i walaualamat  lngkahanks lazada"
"964","tv nya utuh bagus talo  ngnya  kayu biar  aman"
"965","pesen sehari langsung sam barang sesuai nan   barang diterima  kondisi  terimakasih "
"966","null"
"967","  minat orderpesan barang kamiuntuk   silakan add whatsaa  langsung  resseller tokoirima free ongkir  indonesiaterimah kasih"
"968","  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"969","barang   n  anternya    taana    tunggu jam gak ad   n  tf tgl  jam    tolong  gojek nya  susah  hubungi"
"970","  samah ktnya sehari nyamtaamekarang   abang gojek nya  gak  komasu"
"971","null"
"972","klo  seri tv   ah sut   memutar file video via  usb  iya format file jenis  sja thnks"
"973","null"
"974","mantap"
"975","null"
"976","null"
"977","gmn  kalo  kredit nya"
"978","pgen  kridit yanartu kriditttau caraytolong bantuany"
"979","   kredit ya"
"980","maaf gansist  sya    cicil gimana  ya"
"981"," yg asli"
"982","ah   audio vidio outdan in makasih"
"983","kalo  bayarnya  cicilan gimana yaa gan"
"984"," sya n agustus kode voc  gx  d  trus gmna ni nganan  mkcy"
"985"," mencicilnya gmnaklw gak ad kartu kredit"
"986","gan  aedanya dgn yg sharuos i ya"
"987","null"
"988","kalo cicilan syarat y aja"
"989","kalo d  jabodetabek  g"
"990","maux  asli"
"991","a q beli "
"992","barang nan sesuai ng rapih"
"993","barang asli"
"994"," asli"
"995","null"
"996","null"
"997","nice"
"998","  windows     dikirim  uk  windows dibawahnya  kamisudah mencoba  masuk  windows   tetadak     embalian dana  karna  uk   sesuai harakami"
"999","barang bagus  nyam tdak "
"1000","  brma nyam temsaya kakkalo    iriman gimana  rusak or h"
