"","klasifikasi","score","text"
"559","Netral",0,"mudah n awet barang nyaada hologram nya"
"560","Netral",0,"null"
"561","Netral",0,"null"
"562","Positif",1,"suka bgt barangx mulus lus lus and berfungsi dgan  thanks lazada"
"563","Positif",1,"barang samesuai   nya ingan raterima kasih lazada"
"564","Netral",0,"null"
"565","Netral",0,"null"
"566","Netral",0,"null"
"567","Netral",0,"null"
"568","Netral",0,"null"
"569","Netral",0,"null"
"570","Netral",0,"null"
"571","Netral",0,"null"
"572","Netral",0,"null"
"573","Netral",0,"null"
"574","Netral",0,"null"
"575","Netral",0,"null"
"576","Netral",0,"mudahn awet amin"
"577","Positif",1,"warna  sesuai"
"578","Netral",0,"null"
"579","Netral",0,"null"
"580","Netral",0,"null"
"581","Netral",0,"null"
"582","Netral",0,"null"
"583","Positif",1,"eliminasi   ing raaarna gak sesuai   ingini taarang normal work"
"584","Netral",0,"null"
"585","Netral",0,"null"
"586","Netral",0,"product oke sesuai destkridatas back jgarecomend sellergood dah ya"
"587","Netral",0,"la nya dikirim  todal kaciwa"
"588","Positif",1,"sesuai    kebutuhan"
"589","Netral",0,"paket   terima terlambat  irimannya taidak athanks lazada"
"590","Netral",0,"null"
"591","Netral",0,"null"
"592","Netral",0,"null"
"593","Netral",0,"null"
"594","Netral",0,"null"
"595","Netral",0,"null"
"596","Netral",0,"rescedan iriman cevia go send"
"597","Netral",0,"null"
"598","Netral",0,"null"
"599","Netral",0,"flashdisk   beli  diskon agingnya jga raso far so good"
"600","Netral",0,"null"
"601","Netral",0,"barang cesamhanks"
"602","Netral",0,"null"
"603","Positif",1,"brg sesuai   delivery  "
"604","Netral",0,"ok deh mantep"
"605","Netral",0,"null"
"606","Netral",0,"null"
"607","Positif",4,"flashdisk sandisk ok banget  bonus  terima kasih"
"608","Positif",1,"barangnya bagus  harga semurah "
"609","Netral",0,"null"
"610","Netral",0,"null"
"611","Netral",0,"null"
"612","Netral",0,"null"
"613","Netral",0,"gan  n warna biru    warna merah"
"614","Netral",0,"null"
"615","Netral",0,"null"
"616","Netral",0,"null"
"617","Netral",0,"null"
"618","Negatif",-2,"   samsistemnya kosong root  tamjadi hrs install ulang ingan raan tersegel"
"619","Positif",1,"barang yg  kirim  sesuai    taman"
"620","Netral",0,"null"
"621","Netral",0,"null"
"622","Netral",0,"null"
"623","Netral",0,"null"
"624","Netral",0,NA
"625","Netral",0,"null"
"626","Positif",1,"barang  samntuk riman  ku ntt   ceing safe  rabarang sesuai gambar  syang ditawarkan tx lazada  kenkez"
"627","Netral",0,"null"
"628","Netral",0,"null"
"629","Netral",0,"null"
"630","Netral",0,"null"
"631","Netral",0,"null"
"632","Positif",1,"tengkyuu barangnya nyamewaktu packing raan savety banget  recommended seller"
"633","Positif",3,"terlambat    kurir samdikantor  malam  jd besoknya    terima trang  terima   terima kasih"
"634","Positif",1,"barang sesuai sanan pengiriman cejakarta"
"635","Netral",0,"harddisk berjalan   kelengkajuga oke"
"636","Negatif",-1,"  crashed  ga h jatoh"
"637","Netral",0,"null"
"638","Positif",4,"jumat n besoknya nyam barang bagus tdk  cacatnya  terima kasih lazada"
"639","Positif",5,"maaf  semreview    cukuas  layanan ual packing bagus radan aman fisik barang sesuai gambar  ulasan    website   misinformasi aja   hd external wd  gak dasarungnya  overall  rekomendasi sellernya thanks  tingkatkan  yanannya sukses"
"640","Netral",0,"manta"
"641","Netral",0,"null"
"642","Netral",0,"null"
"643","Netral",0,"null"
"644","Netral",0,"null"
"645","Netral",0,NA
"646","Positif",2,"bagus sesuai nan"
"647","Positif",1,"flashdisk nya lucu sesuai  gambar knya suka"
"648","Netral",0,"cukumuaskan"
"649","Netral",0,"null"
"650","Netral",0,"sip"
"651","Negatif",-1,"diresya ce   usb nya gak mengecewakan  kayak  digambar"
"652","Positif",1,"barang diantar  cedan sesuai  elasan   ual meresengan ce"
"653","Negatif",-1,"wkt baca  keterangannya  bkn ori alias kw tba krn review yg  jg ok tmang ok bgt bs dii dgn  bole yg  beli"
"654","Positif",3,"barang nya sesuai  mulus  bungkus rapi"
"655","Positif",1,"bagus"
"656","Netral",0,"null"
"657","Netral",0,"null"
"658","Netral",0,"null"
"659","Netral",0,"null"
"660","Netral",0,"null"
"661","Positif",1,"matul bangetz barangnya berfungsi sesuai harasukses trus bwt toko  lazada iriman suceblum  udah lngsung dikirim mantul dah e"
"662","Positif",2,"maau ksi ulasanbarang yamengan slamt   aman telum  coba krna  semmoga awet   bagus "
"663","Netral",0,"null"
"664","Netral",0,"null"
"665","Netral",0,"null"
"666","Netral",0,"null"
"667","Netral",0,"null"
"668","Netral",0,"null"
"669","Positif",2,"barang sesuai nan iriman tewaktu ng ra banget"
"670","Netral",0,"null"
"671","Netral",0,"ok"
"672","Netral",0,"item arrived in ect condition and still working well until today fast delivery and great customer servicecommunication  thanks"
"673","Negatif",-1," cuman my pass   my pass ultra tulis deskriyang bener ya"
"674","Netral",0,"awet"
"675","Netral",0,"null"
"676","Netral",0,"  hardisk kah gan "
"677","Netral",0,"null"
"678","Positif",1,"product ok sesuai  fotoiriman  cedari estimasiok"
"679","Netral",0,"null"
"680","Netral",0,"null"
"681","Netral",0,"good"
"682","Netral",0,"null"
"683","Netral",0,"null"
"684","Netral",0,"null"
"685","Netral",0,"null"
"686","Positif",2,"barang sesuai gambar  bagus"
"687","Positif",1," sesuai gambar"
"688","Negatif",-1," kali cicilanmaksudnya  bln yayaratan  kredit aja ya"
"689","Netral",0,"kualitas barangny   jamin g ya"
"690","Negatif",-1,"klu   beli tv  lazada  jamin g ya kualitasnya"
"691","Netral",0,"gmna"
"692","Positif",2,"barang samdengan  ingnya bagus isi kotaknya lengkaa  casing hdd kabel maletomale obeng  baut  wadah  alhamdulillaah     semoga awet terima kasih "
"693","Positif",2,"pengiriman cepacking raan aman  barang sesuai deskri  dati sangan samkaian   kendala   normal"
"694","Netral",0,"packing rasemoga awet thanks lazada"
"695","Positif",1,"ingnya raarangnya bagus  murah tq"
"696","Positif",1,"lumayan   harga segini sayang ngebaca hdd gb lemot euy"
"697","Netral",0,"cukuas barang trima ksih lazada"
"698","Netral",0,"null"
"699","Netral",0,"null"
"700","Positif",1,"bagus "
"701","Netral",0,"null"
"702","Netral",0,"null"
"703","Netral",0,"null"
"704","Netral",0,"null"
"705","Netral",0,"null"
"706","Netral",0,"null"
"707","Netral",0,NA
"708","Netral",0,"null"
"709","Positif",1,"lumayan"
"710","Netral",0,"null"
"711","Positif",1,"barang    harga murah taengiriman   sukses  lazada"
"712","Positif",2,"cesamoriginal   test   jd tandem ssd intel  terima kasih"
"713","Netral",0,"good"
"714","Positif",1,"iriman cebarang bagus"
"715","Netral",0,"recomended thx"
"716","Netral",0,"null"
"717","Positif",3,"sesuai taowerbanknya ringan  sesuai harga sih"
"718","Netral",0,NA
"719","Netral",0,"barang diing kuat  racesamsesuai estimasitrimakasih kotakom"
"720","Netral",0,"null"
"721","Netral",0,"null"
"722","Netral",0,"barang  n tanggal juli  tgl barang   kirim  tanggal  barang sammemang  lamataaya maklum   barang nya   negri packing raarang berfungsi  "
"723","Netral",0,"good    "
"724","Netral",0,"null"
"725","Netral",0,"udah ham minggu barang  jg nyamrder tgl  a status nan masi aja dlm esgmana ni lazada"
"726","Netral",0,"barangnya udah samthanks lazada"
"727","Positif",4,"mohon bantuan nya  barangnya belom samudh  sy tunggu gag kunjung  mohon diatikan  terima kasih"
"728","Netral",0,"null"
"729","Netral",0,"null"
"730","Netral",0,"barang  cemulus semoga    kedeya"
"731","Netral",0,"  menyimsedikit file  katas  gb   file    terbaca    coba beberaali"
"732","Netral",0,"  menyimdata"
"733","Negatif",-1,"ga kecewa deh barang keren kemasan ramakasih bos"
"734","Netral",0,"null"
"735","Netral",0,"barang oke"
"736","Netral",0,"karna   nyimfilm  data"
"737","Netral",0,"null"
"738","Positif",1,"bagus uknya"
"739","Positif",2,"nan  yg    terima kenaibuat   terima  tolong   dicek "
"740","Netral",0,"null"
"741","Positif",1,"barangnya bagus"
"742","Netral",0,"blom keterima"
"743","Netral",0,"null"
"744","Netral",0,"produk nya manta"
"745","Netral",0,"so far so good"
"746","Netral",0,"barang ok kiriman tewaktu"
"747","Netral",0,"null"
"748","Netral",0,"null"
"749","Netral",0,"null"
"750","Netral",0,"null"
"751","Netral",0,"null"
"752","Netral",0,"null"
"753","Netral",0,"null"
"754","Netral",0,"null"
"755","Netral",0,"null"
"756","Netral",0,"null"
"757","Netral",0,"null"
"758","Netral",0,"null"
"759","Netral",0,"null"
"760","Netral",0,"null"
"761","Netral",0,"null"
"762","Netral",0,"null"
"763","Netral",0,"null"
"764","Netral",0,"null"
"765","Positif",1,"sesuai"
"766","Positif",1,"barang bagus taayang iriman  k jt barangnya kesasar  kota pamekasan    tercantum kota sam  utk jt  hatihati  ya  untung  hilang barangnya  utk seller top fast rese"
"767","Positif",1,"barang nyamdgn mulus tdk  cacat"
"768","Positif",1,"thanks lazada barang nya sesuai exasi"
"769","Netral",0,"barang good iriman cekurir mantamah makasih lazada"
"770","Netral",0,"barang berfungsi normalsemoga awet"
"771","Positif",1,"barang sesuai deskridan orderan"
"772","Positif",1,"falshdisk bagus berfungsi  "
"773","Positif",2,"barang sesuai nan mantab"
"774","Netral",0,"thx lazada semoga fdnya awet"
"775","Netral",0,"iriman cesmoga awet"
"776","Netral",0,"iriman cebrgnya mantaedbd"
"777","Positif",2,"samdgn selamat  aman"
"778","Positif",1,"  terima barangnya"
"779","Netral",0,"null"
"780","Netral",0,"brg ok samcepat"
"781","Netral",0,"null"
"782","Netral",0,"null"
"783","Netral",0,"null"
"784","Netral",0,"null"
"785","Netral",0,"null"
"786","Netral",0,"null"
"787","Netral",0,"null"
"788","Netral",0,"null"
"789","Netral",0,"null"
"790","Netral",0,"null"
"791","Netral",0,"null"
"792","Netral",0,"null"
"793","Netral",0,"null"
"794","Netral",0,"null"
"795","Netral",0,"null"
"796","Netral",0,"null"
"797","Netral",0,"null"
"798","Netral",0,"null"
"799","Netral",0,"null"
"800","Netral",0,"null"
"801","Netral",0,"null"
"802","Netral",0,"null"
"803","Netral",0,"null"
"804","Netral",0,"null"
"805","Netral",0,"good"
"806","Netral",0,"null"
"807","Netral",0,"null"
"808","Netral",0,"null"
"809","Netral",0,"mantap"
"810","Netral",0,"null"
"811","Netral",0,"null"
"812","Netral",0,"sip"
"813","Netral",0,"null"
"814","Netral",0,"null"
"815","Netral",0,"null"
"816","Netral",0,"pengiriman on time cuman ing sederhana  tanubble wrap"
"817","Netral",0,"null"
"818","Netral",0,"null"
"819","Netral",0,"null"
"820","Netral",0,"null"
"821","Netral",0,"null"
"822","Netral",0,"null"
"823","Netral",0,"null"
"824","Netral",0,"null"
"825","Netral",0,"kurir  n bertanggungjawab barang sesuai sfikasi semoga awet ya"
"826","Positif",1,"barang cesam sesuai nan"
"827","Netral",0,"barang okkemasan ra"
"828","Netral",0,"null"
"829","Netral",0,"null"
"830","Netral",0,"null"
"831","Netral",0,"null"
"832","Netral",0,"null"
"833","Netral",0,"barang oke"
"834","Netral",0,"null"
"835","Netral",0,"good"
"836","Netral",0,"null"
"837","Netral",0,"null"
"838","Netral",0,"null"
"839","Netral",0,"null"
"840","Netral",0,"mantasuai nan nih mah k nya joss"
"841","Netral",0,"null"
"842","Positif",2,"bagus   sesuai  kebutuhan"
"843","Netral",0,NA
"844","Positif",1,"lumayan  harga segitu ing rairiman cesemoga   kendala"
"845","Netral",0,"mudah mudahan  beli la mahals kalo  beli asus rog aja wkwk"
"846","Negatif",-1,"pengen beli budget ga "
"847","Positif",1,"yah lumayan lahtaaya ketemu ram gb ddr  rx i hq   jutaan"
"848","Negatif",-3,"tunggu gua jual leama gua ama ngutang tetangga sebelah  gua beli"
"849","Positif",1,"aroduk aslinya sesuai dgn yg  gambar "
"850","Netral",0,"dikantong   rb"
"851","Netral",0,NA
"852","Netral",0,""
"853","Positif",1,"  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"854","Netral",0,NA
"855","Positif",1," banget ukurannya  tucu sih"
"856","Netral",0,NA
"857","Positif",5,"harddisk tahan banting  standard militer adata udah jaminan mutu  diragukan  kualitas uknya"
"858","Positif",1,"  barang sesuai"
"859","Netral",0,"i bought adata hd this uct is really awesome i feel safe because this uct is waterf shockf and dustf i can save everything without worrying my data will lose i have no more word to describe how incredible this uct is i just love it it is nice uct"
"860","Netral",0,NA
"861","Positif",3," sdh mengetes tv   siaran analog ataudigital  internet si youtube  situs berita  browser bawaan berjalan lancar yg belun berhasil dites  fitur mhl  screen mirorring  membutuhkan ngkat mobile yg mendukung fitur tsb"
"862","Netral",0,"resya cebarangnya cesamjuga terimakasih lazada"
"863","Positif",1,"puass  yanan kencana electronic pelayanan ramah irimannya ce"
"864","Negatif",-1,"sya  kembaliin uk tv ichico by yg kmrn yg  trnyata smdi rmh gambar ny ga  suarany ad"
"865","Netral",0," cicilan gimna  pake d"
"866","Netral",0,"usb nya cm alitas doang gx bs d gunakn"
"867","Netral",0,"knaesanan sayadi batalkan"
"868","Netral",0,"  kecewa banget kenaih udah  tranfer   batalin barang nya gmn sih lazada"
"869","Netral",0,"resya"
"870","Netral",0,"bang   ude ram  total "
"871","Netral",0,"null"
"872","Positif",1,"iriman cesekali  barangnya  bagus rekomended bgt temblanja nya"
"873","Netral",0,"null"
"874","Positif",3,"barang  samdengan kondisinya bagus  sesuai  iklanmantaknya cma ingnya horor alngkah baiknya   ing kayu   aman"
"875","Netral",0,"uwuwww"
"876","Netral",0,NA
"877","Netral",0,"null"
"878","Netral",0,"null"
"879","Netral",0,"null"
"880","Netral",0,"null"
"881","Netral",0,"null"
"882","Netral",0,"good"
"883","Positif",1,"bagus"
"884","Netral",0,"suaranya blm teruji"
"885","Netral",0,"null"
"886","Netral",0,"null"
"887","Netral",0," gimana min  kredit cicilan"
"888","Netral",0,"nice uct"
"889","Netral",0,"excellent"
"890","Positif",2,"barang sesuai  iklan  sfikasi cocok"
"891","Positif",3,"la  diterima barang bagus sesuai s kurangnya    install microsoft office"
"892","Netral",0,"null"
"893","Netral",0,NA
"894","Positif",2,"pelayan bagus  barang sesuai hara bagus  terimakasih ya"
"895","Positif",1,"mantab lahhpengiriman ce"
"896","Netral",0,"null"
"897","Netral",0,"null"
"898","Positif",1,"barang bagus tks  "
"899","Netral",0,"barangnya ok cmya thanks lazada"
"900","Netral",0,"null"
"901","Netral",0,"joss"
"902","Netral",0,"null"
"903","Netral",0,"null"
"904","Netral",0,"null"
"905","Netral",0,"null"
"906","Netral",0,"null"
"907","Netral",0,"null"
"908","Netral",0,"null"
"909","Netral",0," berfungsi  baikkk"
"910","Positif",1,"produk   sesuai estimasi yanan ual jiga  semoga barangnya awet"
"911","Netral",0,"barang ok resok"
"912","Netral",0," n   stok  hubungi "
"913","Negatif",-2,"tertera  demasih  stok   klik beli  kesalahan mohon diaiki"
"914","Netral",0,"semoga memuaskan"
"915","Negatif",-1," memori nya br ya tolong  "
"916","Netral",0,"  dabonus tas dell  taasnya standar kisaran tas harga rb"
"917","Netral",0,"  nanya klo bayar  cicilan gimana  gan"
"918","Negatif",-1,"ga   save pdf file"
"919","Positif",2,"keren lanya rekomendasi bgt  selulernya  bgt tokonya"
"920","Positif",3,"barang bagus admin nya ramah  cantik thanks dd"
"921","Positif",1,"barang bagus"
"922","Netral",0," bayar ditem"
"923","Netral",0," widows aa"
"924","Netral",0,"dd"
"925","Netral",0,"null"
"926","Netral",0,"flashdisk nya cerusak cuman  nyimbeberailm  gimana ni"
"927","Netral",0,"null"
"928","Netral",0,"null"
"929","Positif",2,"la nya   terima  ing nya bagus tanedikit cacatthankslazada"
"930","Positif",2,"puas banget  yanan seller nya barang sesuai nan  cesamseller nya rekomended thanks"
"931","Positif",4,"produk lenovo ideaini  disukai anak   kecennya cukumuaskan keynya nyaman warnanya sy  sesuai banget  tugastugas sekolah anak pokonya ngerock"
"932","Netral",0,"null"
"933","Positif",4,"barang diterima sesuai  syang  harga murah  syang  terima kasih lazada"
"934","Netral",0,"  barang langsung samdari surabaya  bandung  barang ok  install ubuntu tanendala  ngodin thx"
"935","Positif",5,"barang bagus sesuai deskritaegel  dusnya seinya udah terbuka tetaanya mulus  bagus"
"936","Positif",2,"product nya  diterima   mulus no scratch no dent thanks klo garansi  sssc jakarta  "
"937","Netral",0,"null"
"938","Netral",0,"null"
"939","Netral",0,"null"
"940","Positif",2,"samsesuai    ditentukan barang bagus ing bagus"
"941","Negatif",-2,"barang dateng cemulus ga  cacat ty"
"942","Positif",2,"barang bagus  mulus sesuai    jual taenaegel udah kebuka ya"
"943","Positif",3,"brg sudh smengan selamat beserta bonus nya terimakasih  sukses teruss"
"944","Netral",0,"null"
"945","Netral",0,"halo    barang garansi lenovo resmi"
"946","Netral",0,"os  terisi   sdh i os win beraan"
"947","Netral",0,"null"
"948","Positif",1,"lanya bagus  tanendala sedikitpun"
"949","Positif",1,"barang nyamsesuai jadwal ing bagus kondisi la bagusjos  knya"
"950","Netral",0," vga nya   dual grafik vga kah"
"951","Negatif",-1,"kenaesanan  mostnya  dikasihsaya  rugi"
"952","Negatif",-1," dicicil ga"
"953","Positif",1,"  minat orderpesan barang kamisilahkan add whatsaalangsung  reseller tokoterimah kasih"
"954","Positif",2,"iriman cebarang sesuai gambar  emasan   rapi"
"955","Netral",0,"mantaengiriman ce"
"956","Positif",5,"barangnya bagus sesuai naningnya rabarang  duanya bagus tdk  masalahterimakasih lazadaterimakasih seller"
"957","Positif",1,"gambar jernih suara kenceng aturan menu lengkan mudah iriman cecuma   terima kasih"
"958","Positif",1,"   nan   notifikasi  akun barang  samtaari   belom terima  irimannya  gojek tolong  cek  "
"959","Netral",0,"trims lazada paket elian tv   samketujuan tewaktu tanacat  "
"960","Netral",0,"barang cedateng  oke"
"961","Negatif",-1," beraulan tv mati gak "
"962","Netral",0,"barang  sman thanks yaa"
"963","Netral",0,"udah samsaya  walauirimannya  telat  abang kurirnya  nyolot ngotot garagara nyari nama  gak   knal udah caanya nama   nlarusnya tllu biar i walaualamat  lngkahanks lazada"
"964","Positif",2,"tv nya utuh bagus talo  ngnya  kayu biar  aman"
"965","Positif",2,"pesen sehari langsung sam barang sesuai nan   barang diterima  kondisi  terimakasih "
"966","Netral",0,"null"
"967","Positif",2,"  minat orderpesan barang kamiuntuk   silakan add whatsaa  langsung  resseller tokoirima free ongkir  indonesiaterimah kasih"
"968","Netral",0,"  minat orderpesan barang     silahkan add whatsaa langsung  reseller tokoterimah kasih"
"969","Netral",0,"barang   n  anternya    taana    tunggu jam gak ad   n  tf tgl  jam    tolong  gojek nya  susah  hubungi"
"970","Netral",0,"  samah ktnya sehari nyamtaamekarang   abang gojek nya  gak  komasu"
"971","Netral",0,"null"
"972","Negatif",-1,"klo  seri tv   ah sut   memutar file video via  usb  iya format file jenis  sja thnks"
"973","Netral",0,"null"
"974","Netral",0,"mantap"
"975","Netral",0,"null"
"976","Netral",0,"null"
"977","Netral",0,"gmn  kalo  kredit nya"
"978","Netral",0,"pgen  kridit yanartu kriditttau caraytolong bantuany"
"979","Negatif",-1,"   kredit ya"
"980","Netral",0,"maaf gansist  sya    cicil gimana  ya"
"981","Positif",1," yg asli"
"982","Netral",0,"ah   audio vidio outdan in makasih"
"983","Netral",0,"kalo  bayarnya  cicilan gimana yaa gan"
"984","Netral",0," sya n agustus kode voc  gx  d  trus gmna ni nganan  mkcy"
"985","Netral",0," mencicilnya gmnaklw gak ad kartu kredit"
"986","Negatif",-1,"gan  aedanya dgn yg sharuos i ya"
"987","Netral",0,"null"
"988","Positif",1,"kalo cicilan syarat y aja"
"989","Netral",0,"kalo d  jabodetabek  g"
"990","Positif",1,"maux  asli"
"991","Netral",0,"a q beli "
"992","Positif",1,"barang nan sesuai ng rapih"
"993","Positif",1,"barang asli"
"994","Positif",1," asli"
"995","Netral",0,"null"
"996","Netral",0,"null"
"997","Netral",0,"nice"
"998","Positif",3,"  windows     dikirim  uk  windows dibawahnya  kamisudah mencoba  masuk  windows   tetadak     embalian dana  karna  uk   sesuai harakami"
"999","Positif",1,"barang bagus  nyam tdak "
"1000","Negatif",-1,"  brma nyam temsaya kakkalo    iriman gimana  rusak or h"
